znf_name	data_no	data_source	peak_number	repeat_number	motif_all_img_path
ZNF626	GSM2466619	GSE78099	265	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF626/raw/logo1.png
ZNF793-rep2	GSM2466667	GSE78099	5781	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF793-rep2/raw/logo1.png
ZFP57	GSM2466450	GSE78099	5947	4	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZFP57/raw/logo1.png
ZNF616	GSM2466615	GSE78099	969	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF616/raw/logo1.png
ZNF26	GSM2466512	GSE78099	3257	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF26/raw/logo1.png
ZKSCAN2	GSM2466458	GSE78099	1559	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZKSCAN2/raw/logo1.png
ZNF101	GSM2466470	GSE78099	2278	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF101/raw/logo1.png
ZNF33B	GSM2466538	GSE78099	225	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF33B/raw/logo1.png
ZNF77	GSM2466656	GSE78099	298	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF77/raw/logo1.png
ZNF682	GSM2466632	GSE78099	2513	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF682/raw/logo1.png
ZNF100-rep2	GSM2466467	GSE78099	3207	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF100-rep2/raw/logo1.png
ZNF33A	GSM2466536	GSE78099	1155	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF33A/raw/logo1.png
ZNF682-rep2	GSM2466633	GSE78099	3438	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF682-rep2/raw/logo1.png
ZNF549	GSM2466589	GSE78099	455	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF549/raw/logo1.png
ZNF566	GSM2466600	GSE78099	457	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF566/raw/logo1.png
ZNF157	GSM2466481	GSE78099	971	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF157/raw/logo1.png
ZNF418	GSM2466548	GSE78099	216	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF418/raw/logo1.png
ZNF564	GSM2466598	GSE78099	771	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF564/raw/logo1.png
ZNF565	GSM2466599	GSE78099	1154	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF565/raw/logo1.png
ZNF133	GSM2466476	GSE78099	7288	4	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF133/raw/logo1.png
ZNF354A	GSM2466540	GSE78099	735	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF354A/raw/logo1.png
ZIM2	GSM2466456	GSE78099	79	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZIM2/raw/logo1.png
ZKSCAN3	GSM2466461	GSE78099	105	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZKSCAN3/raw/logo1.png
PRDM9	GSM2466446	GSE78099	994	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_PRDM9/raw/logo1.png
ZNF432	GSM2466555	GSE78099	219	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF432/raw/logo1.png
ZNF445	GSM2466562	GSE78099	4674	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF445/raw/logo1.png
ZFP14	GSM2466448	GSE78099	1083	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZFP14/raw/logo1.png
ZNF311	GSM2466527	GSE78099	157	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF311/raw/logo1.png
ZNF620	GSM2466617	GSE78099	35	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF620/raw/logo1.png
ZNF561	GSM2466596	GSE78099	1012	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF561/raw/logo1.png
ZNF548	GSM2466588	GSE78099	188	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF548/raw/logo1.png
ZNF557	GSM2466594	GSE78099	1329	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF557/raw/logo1.png
ZNF468	GSM2466567	GSE78099	8640	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF468/raw/logo1.png
ZNF430	GSM2466553	GSE78099	512	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF430/raw/logo1.png
ZNF880	GSM2466681	GSE78099	67	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF880/raw/logo1.png
ZNF549-rep2	GSM2466590	GSE78099	768	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF549-rep2/raw/logo1.png
ZNF248	GSM2466504	GSE78099	6694	4	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF248/raw/logo1.png
ZNF529	GSM2466582	GSE78099	111	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF529/raw/logo1.png
ZNF805	GSM2466671	GSE78099	201	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF805/raw/logo1.png
ZNF765	GSM2466651	GSE78099	2871	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF765/raw/logo1.png
ZNF791	GSM2466664	GSE78099	87	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF791/raw/logo1.png
ZNF487P	GSM2466574	GSE78099	265	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF487P/raw/logo1.png
ZNF44	GSM2466563	GSE78099	2915	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF44/raw/logo1.png
ZNF304	GSM2466525	GSE78099	1164	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF304/raw/logo1.png
ZNF398	GSM2466545	GSE78099	342	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF398/raw/logo1.png
ZNF90	GSM2466684	GSE78099	1095	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF90/raw/logo1.png
ZNF257	GSM2466506	GSE78099	22179	8	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF257/raw/logo1.png
ZNF584	GSM2466606	GSE78099	285	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF584/raw/logo1.png
ZNF585A	GSM2466607	GSE78099	4837	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF585A/raw/logo1.png
ZNF189	GSM2466489	GSE78099	4178	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF189/raw/logo1.png
ZNF730	GSM2466643	GSE78099	1244	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF730/raw/logo1.png
ZNF681	GSM2466631	GSE78099	561	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF681/raw/logo1.png
ZNF383	GSM2466544	GSE78099	791	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF383/raw/logo1.png
ZNF790	GSM2466663	GSE78099	80	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF790/raw/logo1.png
ZNF85	GSM2466678	GSE78099	304	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF85/raw/logo1.png
ZNF7	GSM2466670	GSE78099	271	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF7/raw/logo1.png
ZNF33A-rep2	GSM2466537	GSE78099	1120	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF33A-rep2/raw/logo1.png
ZNF615	GSM2466614	GSE78099	48	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF615/raw/logo1.png
ZKSCAN5	GSM2466463	GSE78099	4558	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZKSCAN5/raw/logo1.png
ZNF662	GSM2466623	GSE78099	391	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF662/raw/logo1.png
